student_id,cohort_year,species,clan,gender,forename,surname,full_name,age,education,socio_economic_rank,disabilities,first_gen
0,1046-47,Dwarf,slate,male,Jarn,Dowelturn,Jarn Dowelturn,18,academic,3,physical_disability,False
1,1046-47,Elf,baobab,female,Alionae,Ivoryscroll,Alionae Ivoryscroll,18,academic,4,no_known_disabilities,True
2,1046-47,Dwarf,slate,male,Elrek,Bluechalk,Elrek Bluechalk,18,vocational,2,no_known_disabilities,False
3,1046-47,Dwarf,alabaster,neuter,Lior,Homehewer,Lior Homehewer,18,vocational,1,no_known_disabilities,False
4,1046-47,Dwarf,sandstone,female,Zanna,Wayweaver,Zanna Wayweaver,18,vocational,2,no_known_disabilities,False
5,1046-47,Elf,holly,male,Elarion,Lorebloom,Elarion Lorebloom,18,academic,8,no_known_disabilities,False
6,1046-47,Elf,holly,female,Sirella,Archivevine,Sirella Archivevine,18,academic,8,no_known_disabilities,False
7,1046-47,Elf,holly,neuter,Ysil,Shardlumen,Ysil Shardlumen,18,no_qualifications,7,no_known_disabilities,False
8,1046-47,Elf,baobab,male,Olyrion,Regalspore,Olyrion Regalspore,18,academic,5,autistic_spectrum,True
9,1046-47,Dwarf,flint,male,Drask,Hardfall,Drask Hardfall,18,vocational,2,no_known_disabilities,False
10,1046-47,Dwarf,alabaster,female,Lira,Homehewer,Lira Homehewer,21,vocational,2,"adhd,other_neurodivergence",False
11,1046-47,Elf,yew,male,Galrian,Gravethorn,Galrian Gravethorn,18,academic,5,no_known_disabilities,True
12,1046-47,Elf,yew,neuter,Saenil,Pactweaver,Saenil Pactweaver,18,vocational,7,no_known_disabilities,False
13,1046-47,Elf,baobab,female,Ysari,Highbark,Ysari Highbark,18,academic,7,no_known_disabilities,False
14,1046-47,Dwarf,sandstone,female,Freya,Crossgrip,Freya Crossgrip,18,academic,2,no_known_disabilities,True
15,1046-47,Elf,holly,male,Halion,Dewscroll,Halion Dewscroll,18,academic,8,deaf_or_hearing_impaired,False
16,1046-47,Dwarf,flint,female,Inna,Ironboot,Inna Ironboot,18,academic,3,no_known_disabilities,False
17,1046-47,Elf,holly,female,Riella,Greenquill,Riella Greenquill,18,academic,6,no_known_disabilities,False
18,1046-47,Elf,rowan,female,Feyra,Ashbud,Feyra Ashbud,18,academic,7,no_known_disabilities,False
19,1046-47,Dwarf,flint,male,Jast,Masonflare,Jast Masonflare,18,no_qualifications,1,deaf_or_hearing_impaired,False
20,1046-47,Elf,rowan,male,Thandor,Songroot,Thandor Songroot,18,academic,5,no_known_disabilities,True
21,1046-47,Dwarf,bismuth,male,Dremel,Tintmirror,Dremel Tintmirror,18,academic,6,no_known_disabilities,False
22,1046-47,Dwarf,alabaster,female,Hesta,Plainbrow,Hesta Plainbrow,18,vocational,2,no_known_disabilities,True
23,1046-47,Dwarf,bismuth,neuter,Kael,Dreamtether,Kael Dreamtether,18,academic,2,no_known_disabilities,False
24,1046-47,Elf,yew,male,Delthorn,Veilkeeper,Delthorn Veilkeeper,18,academic,6,no_known_disabilities,False
25,1046-47,Dwarf,alabaster,male,Elvor,Hopegrind,Elvor Hopegrind,20,no_qualifications,2,no_known_disabilities,False
26,1046-47,Elf,rowan,male,Thandor,Windpoem,Thandor Windpoem,18,vocational,4,no_known_disabilities,True
